Date,Open,High,Low,Close,Volume
2023-10-05,524.2,525.0,515.55,518.05,176365
2023-10-06,519.0,522.2,516.05,520.5,79785
2023-10-09,516.5,525.5,512.8,521.45,147140
2023-10-10,523.6,534.5,518.5,532.6,134794
2023-10-11,537.0,542.5,532.15,541.35,156968
2023-10-12,541.35,548.65,535.0,543.6,134741
2023-10-13,536.5,547.5,529.2,545.2,243012
2023-10-16,543.9,544.9,535.3,543.85,171169
2023-10-17,543.85,552.35,540.05,548.15,108154
2023-10-18,548.15,556.4,535.8,548.3,484518
2023-10-19,542.5,555.0,537.0,552.4,179342
2023-10-20,562.5,577.5,552.7,555.8,931412
2023-10-23,558.0,561.25,536.0,538.8,453381
2023-10-25,544.9,549.0,520.5,524.5,309436
2023-10-26,541.5,577.5,525.0,567.6,2424964
2023-10-27,572.5,597.9,560.2,588.75,1682891
2023-10-30,595.0,595.0,575.0,578.15,472905
2023-10-31,581.0,586.3,571.4,576.8,290381
2023-11-01,576.8,585.0,567.5,572.1,425200
2023-11-02,579.5,613.0,576.0,598.15,320823
2023-11-03,605.0,617.0,595.0,613.2,731356
2023-11-06,617.5,625.95,609.0,624.1,518034
2023-11-07,625.5,635.0,610.5,630.5,417708
2023-11-08,630.0,648.3,620.55,645.1,458252
2023-11-09,644.5,654.0,636.2,650.8,312853
2023-11-10,650.0,661.5,645.75,658.9,266945
2023-11-12,664.0,673.7,662.5,670.15,59146
2023-11-13,670.0,670.6,656.5,659.65,119488
2023-11-15,661.6,681.0,659.0,664.95,237497
2023-11-16,666.95,675.0,660.8,670.1,190988
2023-11-17,670.1,696.8,670.0,681.3,414982
2023-11-20,681.3,699.5,681.1,692.0,209725
2023-11-21,699.0,704.5,678.05,684.25,189150
2023-11-22,686.0,691.2,625.6,651.15,1232366
2023-11-23,658.2,662.0,645.0,649.7,214159
2023-11-24,649.7,656.5,641.0,646.8,185921
2023-11-28,644.6,647.0,625.0,626.8,344343
2023-11-29,629.5,640.15,625.55,634.9,350370
2023-11-30,638.2,683.5,638.2,679.6,783186
2023-12-01,696.0,711.0,680.0,684.4,758968
2023-12-04,705.5,709.75,696.5,704.1,387998
2023-12-05,704.1,734.5,704.1,731.4,589034
2023-12-06,739.95,742.5,722.5,729.0,237035
2023-12-07,735.8,735.8,717.75,721.15,168462
2023-12-08,725.0,725.45,705.65,709.25,250848
2023-12-11,720.0,720.0,702.0,705.1,400340
2023-12-12,709.9,775.95,708.45,754.8,4247887
2023-12-13,752.0,752.0,715.0,723.5,1419882
2023-12-14,732.0,804.0,732.0,776.3,4748615
2023-12-15,787.4,793.1,765.0,769.1,1301472
2023-12-18,770.0,775.8,751.75,759.1,682863
2023-12-19,766.4,769.85,755.0,757.2,551468
2023-12-20,762.95,784.9,749.8,752.15,1129631
2023-12-21,740.0,755.95,732.1,745.05,482173
2023-12-22,755.35,756.9,738.3,749.9,497570
2023-12-26,749.9,753.35,732.55,744.55,628558
2023-12-27,752.0,753.75,735.55,740.15,385103
2023-12-28,746.95,747.6,725.0,727.35,410105
2023-12-29,738.9,746.05,730.0,742.75,469161
2024-01-01,736.0,739.9,720.4,722.9,1066481
2024-01-02,728.8,728.8,708.0,709.65,447140
2024-01-03,705.05,718.8,697.05,705.85,745261
2024-01-04,710.0,714.35,702.35,705.15,356682
2024-01-05,712.05,716.55,702.0,715.35,543171
2024-01-08,719.0,719.9,699.25,700.7,467040
2024-01-09,704.35,710.0,694.55,704.55,420680
2024-01-10,705.0,709.25,696.6,706.0,504112
2024-01-11,709.0,714.9,701.5,709.95,301148
2024-01-12,717.0,763.8,713.2,755.5,3207510
2024-01-15,764.7,779.5,756.0,761.85,1414234
2024-01-16,762.1,771.25,751.05,765.0,628161
2024-01-17,756.7,762.4,745.05,759.65,410793
2024-01-18,759.65,770.0,732.45,765.85,417635
2024-01-19,768.2,776.5,756.5,770.2,478114
2024-01-20,776.0,776.0,758.0,760.95,181015
2024-01-23,762.0,766.45,734.15,739.55,449923
2024-01-24,736.0,759.85,718.5,754.25,580239
2024-01-25,754.25,757.75,738.55,748.5,249950
2024-01-29,748.45,754.1,733.5,740.35,295146
2024-01-30,742.5,751.6,730.4,734.6,259382
2024-01-31,736.85,770.0,735.5,768.0,725180
2024-02-01,769.9,778.0,752.9,764.65,398384
2024-02-02,744.95,774.0,710.5,768.4,750592
2024-02-05,768.4,815.0,762.15,808.25,2233078
2024-02-06,825.0,838.1,813.45,823.25,969433
2024-02-07,830.0,830.7,802.15,805.3,392437
2024-02-08,806.55,810.05,787.7,798.25,429345
2024-02-09,802.45,814.0,777.5,796.7,267815
2024-02-12,797.55,808.7,775.1,783.8,243205
2024-02-13,786.5,786.5,745.3,780.65,546438
2024-02-14,781.0,788.65,762.75,777.2,213471
2024-02-15,782.95,827.0,780.0,812.7,551870
2024-02-16,815.2,820.75,786.0,797.45,331847
2024-02-19,802.0,848.0,801.45,842.2,1176036
2024-02-20,850.0,865.65,815.0,821.15,735116
2024-02-21,821.15,859.9,821.15,833.45,785562
2024-02-22,833.85,852.55,826.0,844.2,407885
2024-02-23,846.9,846.9,831.55,839.35,178701
2024-02-26,839.35,852.0,818.7,847.5,338114
2024-02-27,854.15,870.0,837.45,857.65,434501
2024-02-28,860.2,864.95,826.7,840.8,359864
2024-02-29,840.0,840.8,793.15,810.95,1030469
2024-03-01,815.0,825.0,806.55,817.3,379858
2024-03-02,824.8,840.0,820.35,822.15,21092
2024-03-04,822.6,826.15,797.85,816.85,408787
2024-03-05,811.0,834.8,803.2,822.7,430078
2024-03-06,825.0,825.0,774.95,805.1,660313
2024-03-07,812.4,816.95,785.0,789.05,507791
2024-03-11,793.0,793.45,765.0,782.85,277164
2024-03-12,777.7,782.45,743.6,754.2,585798
2024-03-13,754.2,757.7,705.95,740.3,937981
2024-03-14,737.0,741.2,704.05,728.0,964087
2024-03-15,728.0,747.4,718.25,731.5,528367
2024-03-18,731.5,749.1,723.35,745.45,351460
2024-03-19,750.4,753.9,733.65,750.1,291232
2024-03-20,753.1,756.0,725.0,728.65,998435
2024-03-21,730.0,763.0,722.0,749.05,774076
2024-03-22,742.0,755.15,731.05,742.55,953407
2024-03-26,738.0,750.4,729.1,747.6,335336
2024-03-27,751.5,752.0,736.3,743.2,195954
2024-03-28,750.0,750.1,720.0,722.35,443175
2024-04-01,722.0,729.5,711.5,716.15,1119265
2024-04-02,717.1,736.0,713.6,730.05,573133
2024-04-03,735.0,748.55,726.2,746.05,672219
2024-04-04,750.15,753.9,738.25,749.7,587890
2024-04-05,747.6,753.6,738.05,742.05,911374
2024-04-08,748.9,763.0,744.65,760.45,1444477
2024-04-09,768.0,769.7,749.25,758.55,639283
2024-04-10,757.05,760.1,728.25,737.75,1194640
2024-04-12,739.95,745.45,723.2,727.25,375809
2024-04-15,721.0,723.2,702.25,713.75,461156
2024-04-16,709.9,710.05,698.0,700.0,608393
2024-04-18,692.0,703.5,677.05,681.6,803079
2024-04-19,675.0,676.0,656.55,672.05,1345911
2024-04-22,675.0,679.55,664.7,669.05,330473
2024-04-23,671.0,675.65,658.55,660.7,316348
2024-04-24,667.0,675.0,662.95,671.7,217922
2024-04-25,675.0,683.25,665.55,672.6,325994
