Date,Open,High,Low,Close,Volume
2024-08-19,194.57,198.11,193.68,195.92,483400
2024-08-20,192.73,193.45,180.84,182.47,1268800
2024-08-21,183.85,186.58,183.43,185.8,663400
2024-08-22,186.76,186.76,183.12,185.66,569200
2024-08-23,187.13,188.25,182.55,185.04,502500
2024-08-26,185.04,185.16,180.31,180.69,416500
2024-08-27,186.15,196.52,183.31,192.58,1211500
2024-08-28,191.77,205.46,191.77,204.42,1271300
2024-08-29,205.92,207.3,204.35,205.15,702900
2024-08-30,207.99,209.22,201.15,202.77,606000
2024-09-03,202.0,206.78,199.69,206.69,718300
2024-09-04,206.63,219.52,204.02,212.51,1282300
2024-09-05,213.55,221.61,211.88,216.11,940800
2024-09-06,216.1,217.72,211.27,214.75,559600
2024-09-09,218.12,222.0,216.0,219.13,836000
2024-09-10,217.82,227.26,217.82,226.5,906100
2024-09-11,224.98,229.77,220.1,227.73,792400
2024-09-12,227.75,232.56,225.28,230.45,1092500
2024-09-13,230.45,234.71,229.38,233.87,694300
2024-09-16,234.06,236.62,232.26,233.89,550900
2024-09-17,235.0,243.98,233.89,235.54,819100
2024-09-18,235.54,237.18,231.75,236.11,522400
2024-09-19,239.43,239.44,232.02,237.68,624600
2024-09-20,235.29,237.94,231.23,236.58,1347400
2024-09-23,237.4,239.09,235.0,238.97,681100
2024-09-24,239.83,242.69,237.44,239.01,588300
2024-09-25,239.98,240.86,237.84,238.8,376500
2024-09-26,239.2,239.65,232.01,235.43,607100
2024-09-27,236.96,238.4,231.89,232.03,518700
2024-09-30,232.68,233.44,229.32,232.75,539000
2024-10-01,233.77,235.34,229.65,234.56,513400
2024-10-02,234.19,235.23,231.49,232.63,402200
2024-10-03,231.72,233.94,229.28,229.99,369400
2024-10-04,231.29,232.21,228.35,229.94,440200
2024-10-07,228.78,228.9,225.41,227.79,352400
2024-10-08,229.08,231.81,227.12,229.33,371200
2024-10-09,229.32,231.96,225.37,231.84,407100
2024-10-10,229.84,232.47,227.78,231.2,436500
2024-10-11,232.26,236.43,231.16,233.1,421500
2024-10-14,233.73,234.18,230.37,232.51,386900
2024-10-15,231.71,234.03,229.43,230.07,390700
2024-10-16,230.95,232.8,229.7,230.6,453000
2024-10-17,230.64,231.7,227.78,229.13,309500
2024-10-18,229.77,236.87,228.58,236.59,602300
2024-10-21,236.59,239.09,234.76,236.48,601200
2024-10-22,236.48,237.24,233.19,236.6,568500
2024-10-23,235.59,238.72,234.53,234.84,489700
2024-10-24,235.41,238.52,235.05,237.63,233900
2024-10-25,237.09,238.7,226.5,233.63,427900
2024-10-28,235.91,236.86,233.16,233.37,321700
2024-10-29,231.51,234.04,230.13,232.37,385400
2024-10-30,230.86,232.4,229.6,230.58,449200
2024-10-31,229.61,231.97,227.03,231.53,549200
2024-11-01,230.07,236.74,229.56,235.61,385300
2024-11-04,236.02,240.78,235.81,237.44,538200
2024-11-05,236.89,242.11,233.48,241.32,370600
2024-11-06,248.55,248.55,234.89,239.3,932500
2024-11-07,237.35,245.17,236.63,244.98,778400
2024-11-08,256.9,275.52,253.84,268.0,1582900
2024-11-11,268.16,279.4,267.3,275.7,815400
2024-11-12,275.69,276.06,271.24,275.1,683000
2024-11-13,275.47,276.57,266.99,269.06,407800
2024-11-14,266.46,267.58,258.15,261.16,742900
2024-11-15,261.0,264.71,257.43,260.12,916800
2024-11-18,260.1,263.93,260.01,260.68,679100
2024-11-19,259.39,265.27,259.18,261.99,437600
2024-11-20,262.24,267.05,260.63,266.58,516800
2024-11-21,267.43,267.43,261.92,262.0,738900
2024-11-22,262.83,264.57,259.63,262.93,458000
2024-11-25,264.82,267.33,263.8,266.58,589000
2024-11-26,265.91,269.14,263.64,266.42,522200
2024-11-27,267.57,272.56,266.23,266.92,414400
2024-11-29,266.36,267.9,264.69,266.78,250900
2024-12-02,267.58,270.19,264.53,266.49,610000
2024-12-03,265.13,270.56,264.8,269.66,662800
2024-12-04,270.01,270.81,265.55,269.21,508700
2024-12-05,269.0,275.34,267.01,267.58,518300
2024-12-06,267.39,270.29,264.69,265.46,443100
2024-12-09,266.09,267.1,263.18,265.12,437200
2024-12-10,266.88,278.71,263.64,274.79,781500
2024-12-11,277.41,279.39,273.17,273.47,663900
2024-12-12,276.42,279.77,270.37,271.73,610800
2024-12-13,271.75,272.77,266.45,269.34,571600
2024-12-16,267.6,271.18,263.73,265.5,551300
2024-12-17,262.99,265.67,258.96,263.35,581700
2024-12-18,261.88,262.67,256.33,256.44,873300
2024-12-19,256.5,259.04,254.79,256.56,677000
2024-12-20,256.56,270.7,256.56,266.57,1466000
2024-12-23,264.82,266.44,258.97,263.33,493700
2024-12-24,263.91,264.17,261.54,263.23,140100
2024-12-26,261.26,266.42,261.26,265.68,244000
2024-12-27,262.61,266.59,262.27,265.12,312900
2024-12-30,262.56,264.24,259.31,263.36,338900
2024-12-31,264.75,265.46,259.4,261.07,327300
2025-01-02,259.84,263.83,255.2,256.85,520900
2025-01-03,258.0,267.67,257.89,266.3,465500
2025-01-06,267.65,269.94,265.49,268.41,538700
2025-01-07,267.84,269.63,263.94,265.65,511000
2025-01-08,264.17,271.35,263.0,270.36,363200
2025-01-10,268.18,274.45,266.89,271.83,557600
2025-01-13,271.32,271.32,260.84,267.99,453400
2025-01-14,268.9,271.13,262.49,267.04,472900
2025-01-15,270.11,270.77,263.13,264.38,654100
2025-01-16,264.22,275.33,263.28,272.86,694300
2025-01-17,275.68,278.53,273.0,275.81,554100
2025-01-21,279.02,282.86,275.87,276.08,633800
2025-01-22,275.12,279.68,274.36,278.89,562200
2025-01-23,279.23,279.97,272.0,277.2,576100
2025-01-24,275.28,280.73,275.17,280.35,561500
2025-01-27,280.41,282.87,273.83,275.9,489400
2025-01-28,275.85,282.87,273.67,275.97,764100
2025-01-29,276.88,277.92,273.82,277.11,778400
2025-01-30,278.14,286.39,277.37,280.03,434800
2025-01-31,277.4,284.62,277.4,278.38,514500
2025-02-03,276.17,281.35,274.18,278.9,389600
2025-02-04,279.27,280.4,277.56,278.48,344600
2025-02-05,279.67,287.0,279.58,284.7,509900
2025-02-06,284.78,288.05,282.23,287.67,501100
2025-02-07,287.67,289.46,282.81,283.08,399700
2025-02-10,284.36,286.59,280.6,285.34,411700
2025-02-11,284.16,287.0,283.11,284.26,417000
2025-02-12,280.22,282.92,278.94,279.55,671200
2025-02-13,281.32,282.98,278.3,282.12,635900
2025-02-14,281.68,283.99,279.3,280.56,474700
2025-02-18,280.2,284.4,270.0,280.71,662400
2025-02-19,280.89,288.95,279.95,283.68,742100
2025-02-20,281.61,288.93,281.61,288.29,851500
2025-02-21,276.35,286.66,274.87,282.8,1410500
2025-02-24,283.69,287.7,281.9,283.48,865000
2025-02-25,282.57,283.33,260.42,266.68,1844900
2025-02-26,266.11,272.43,265.36,270.64,733300
2025-02-27,269.51,270.8,263.34,267.09,921200
2025-02-28,267.89,272.73,262.95,272.27,988700
2025-03-03,272.87,279.64,270.72,272.64,873100
2025-03-04,272.12,273.22,261.25,269.7,869700
2025-03-05,269.37,271.88,267.36,270.81,483200
2025-03-06,269.58,269.58,259.03,259.67,835300
2025-03-07,259.48,260.91,246.59,251.81,1238200
2025-03-10,249.62,249.62,230.05,237.06,1596600
2025-03-11,238.02,248.49,237.05,245.35,1085500
2025-03-12,250.27,255.63,247.19,248.38,1237600
2025-03-13,247.58,247.58,239.88,244.67,840600
2025-03-14,247.66,257.25,246.5,255.44,913500
2025-03-17,254.7,262.48,252.47,261.63,780300
2025-03-18,261.25,264.83,255.64,260.47,738500
2025-03-19,261.43,266.89,260.01,265.82,588400
